asset,n_rows,ann_return,ann_vol,max_drawdown,skew
weth_usd,366,-0.16865427991361692,0.7492789364183119,-0.6010051282638632,0.21284323189836263
binance-peg-weth_usd,366,-0.167352435260279,0.7482905731704118,-0.600994615892031,0.22976949428449484
bridged-wrapped-lido-staked-ether-scroll_usd,366,-0.10165041332627278,0.7431978888921414,-0.5953349400325492,0.2923738018739248
xdce-crowd-sale_usd,366,-0.4179951285869712,0.7407572313097994,-0.6765704870678119,0.6322512466618132
bitcoin-cash_usd,366,0.2678629039631131,0.7389081804466826,-0.4507753938008221,0.4179933656365793
the-open-network_usd,366,-0.7477117458412489,0.738785018329729,-0.7521829840280019,-1.1012613619998866
bitget-token_usd,366,-0.4058063019140733,0.7140714743700556,-0.5838373857105696,0.043322354636890416
global-dollar_usd,366,-0.0009501464998598053,0.7121545678797807,-0.39575068241820766,0.008386125283506
monero_usd,366,1.31596443686959,0.6330318356594091,-0.43429219724603796,-0.17008593979041728
TSLA,999,0.05012396783521722,0.6173768753124353,-0.7178994206069357,0.020415917384758998
NVDA,999,0.5891670850083397,0.5356665808163096,-0.6166951216939178,0.23396317236762898
binancecoin_usd,366,0.18014318547648345,0.5235993534675109,-0.3691546190764262,-0.08402877798665918
wbnb_usd,366,0.18235974134540855,0.5181897109105187,-0.36846318700584857,-0.04265124209066122
whitebit_usd,353,1.3145152572214127,0.5176524120071744,-0.2164644884978154,4.3626207698114605
gatechain-token_usd,366,-0.31007162265055044,0.51199509146127,-0.6156146188234084,0.09663991386480485
INTC,999,-0.09293472856417206,0.4944898629001426,-0.6757288640628425,-0.3428481400965273
htx-dao_usd,366,-0.26851866681537495,0.4932547607215141,-0.42236118889230145,0.9801513251511073
kucoin-shares_usd,366,-0.03907183410572046,0.4883812964900098,-0.4089532726233509,0.20143020526700775
NFLX,999,0.12019472270195908,0.47617028174785997,-0.7185655306120169,-3.261099142483018
META,999,0.18701746702845656,0.46878819948540534,-0.7358036312227294,-1.2539447027147235
leo-token_usd,366,-0.11197502686211347,0.44398759322601966,-0.3193367670042784,-3.2328999784821937
PYPL,999,-0.25723108930219063,0.4372313470445478,-0.7379206414421144,-1.2984360680122624
ignition-fbtc_usd,366,-0.12905627234800454,0.4346597784830913,-0.32322177724601686,-0.06989873519736657
lombard-staked-btc_usd,366,-0.11979683595519786,0.42704021126582314,-0.32077440657744205,-0.04882264447529814
bitcoin_usd,366,-0.121950567236495,0.42084965933092044,-0.32130926274130633,-0.01532043034769702
coinbase-wrapped-btc_usd,366,-0.12258530148887226,0.4196986873706944,-0.32100279897043305,0.024500428950645504
wrapped-bitcoin_usd,366,-0.12014968282693639,0.41744313914072,-0.3229560004330624,0.013788649045792899
solv-btc_usd,366,-0.11935194985915698,0.4155672823854006,-0.32244300693594663,0.022805766016331788
jupiter-perpetuals-liquidity-provider-token_usd,366,0.04163088710531393,0.41430204684392924,-0.30499180435055917,0.04241269767236881
ORCL,999,0.2267885437801933,0.3990307052404933,-0.4564614442409817,1.5505581061872962
tron_usd,366,0.08029811836846013,0.39245004778464815,-0.26033409247204853,-0.12094309068984528
AMZN,999,0.08147602607887805,0.3742573182577895,-0.516758712960837,-0.06934478694691319
CRM,999,0.009550782096159338,0.3716809811756302,-0.4832614652531676,-0.6106532311441378
ADBE,999,-0.11174841039095773,0.37072415484504784,-0.5078455020948256,-1.2067773359442324
GOOGL,999,0.2155388685941746,0.32694523776456164,-0.43628378172178506,-0.06803968445835641
AAPL,999,0.10862020605626621,0.2845495127190353,-0.3343370956600398,0.3200939939341224
MSFT,999,0.09986496697895086,0.2678834633552169,-0.34880400704943926,0.11613798153531603
IBM,999,0.22568348332246457,0.23948319963204165,-0.20357553007443197,0.33624442602841825
CSCO,999,0.054801699859400754,0.23561717732565868,-0.3703703522481846,-1.2197016767486963
pax-gold_usd,366,0.7109226425487511,0.19850983423368512,-0.11620555157043355,-0.3005785609075269
tether-gold_usd,366,0.7094797305898657,0.18887111393333791,-0.10680677442394826,-0.34558027201428776
hashnote-usyc_usd,323,0.029728138109488267,0.10254597709917453,-0.05795481644339595,1.33280475072024
falcon-finance_usd,307,-0.0028276861563159006,0.09522204531208238,-0.05151505705387771,-0.06015889740239774
susds_usd,366,0.062535515425719,0.09434585609672834,-0.057671624119899234,-1.9535527542752238
usd1-wlfi_usd,260,-0.00028950735959731855,0.03020250378650163,-0.01927395146045674,-0.5811132985135485
ripple-usd_usd,366,0.020189146141155856,0.029760924125730157,-0.01081752993896623,3.8927327610012523
binance-bridged-usdt-bnb-smart-chain_usd,366,0.0005562679080979294,0.028696756589147488,-0.016394385316451765,-0.47074995741239156
binance-bridged-usdc-bnb-smart-chain_usd,366,-0.00039795281539789507,0.028136597850043264,-0.017690197128200524,-0.7715301434740713
usdt0_usd,338,-0.000563194944612766,0.025704143580355856,-0.014114937911666403,0.05145858476596865
syrupusdc_usd,300,0.06996337257400653,0.022351426875484214,-0.011673945593802637,0.5901892674064715
ethena-staked-usde_usd,366,0.06709623555126498,0.021655840531033938,-0.0051326427018540954,-0.07277388868618892
ethena-usde_usd,366,-0.0003696964314555684,0.01643121093943141,-0.006159441297649559,0.08737042854324463
usds_usd,366,-0.0033243025206434185,0.01577997459712137,-0.00855334042881084,-1.1370033125625856
dai_usd,366,-0.0007592069502855292,0.010489812392528832,-0.0037756967142429376,0.22606451561202798
paypal-usd_usd,366,-0.0009292546588238748,0.010393171312777248,-0.0034221295212550906,0.45893831875279034
tether_usd,366,0.00020586567121649857,0.005714122425384745,-0.0027848317561200986,0.3529950880460468
bfusd_usd,135,-0.002011179795228246,0.005231112757111345,-0.0021782664808128738,-0.017530510194706837
janus-henderson-anemoy-aaa-clo-fund_usd,44,0.05114530395747763,0.00405120681147308,-0.0005410605968191318,0.18017481609533606
usd-coin_usd,366,-0.0007718676409964598,0.0025614557894518435,-0.0017419233589455185,-0.3468602592206534
blackrock-usd-institutional-digital-liquidity-fund_usd,318,0.0,0.0,0.0,
